"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
103.64,2998,50,96.2,1,0,0,0,0,0,0,0,0,0,0,1
110.91,2600,2,101.83,0,1,0,0,0,0,0,0,0,0,0,1
106.26,3087,3,95.69,0,1,0,0,0,0,0,0,0,0,0,1
88.25,3008,4,95.37,0,1,0,0,0,0,0,0,0,0,0,1
103.9,3019,6,91.21,0,1,0,0,0,0,0,0,0,0,0,1
108.14,2886,9,99.64,0,1,0,0,0,0,0,0,0,0,0,1
107.92,2826,10,100.22,0,1,0,0,0,0,0,0,0,0,0,1
108.65,2671.15,12,101.21,0,1,0,0,0,0,0,0,0,0,0,1
105.28,3149,15,98.03,0,1,0,0,0,0,0,0,0,0,0,1
104.23,3316,17,91.9,0,1,0,0,0,0,0,0,0,0,0,1
105.23,3111,21,98.9,0,1,0,0,0,0,0,0,0,0,0,1
106.63,3109,36,99.91,0,1,0,0,0,0,0,0,0,0,0,1
104.02,3399.62,43,95.33,0,1,0,0,0,0,0,0,0,0,0,1
105.12,3058.89,44,96.48,0,1,0,0,0,0,0,0,0,0,0,1
104.95,3306,46,97.01,0,1,0,0,0,0,0,0,0,0,0,1
88.19,3281,47,86.81,0,1,0,0,0,0,0,0,0,0,0,1
105.52,2893,51,98.85,0,1,0,0,0,0,0,0,0,0,0,1
117.25,932,52,110.86,0,1,0,0,0,0,0,0,0,0,0,1
109.76,2510,8,101.9,0,0,1,0,0,0,0,0,0,0,0,1
105.76,3267.69,10,99.26,0,0,1,0,0,0,0,0,0,0,0,1
105.94,2724.44,11,101.39,0,0,1,0,0,0,0,0,0,0,0,1
107.79,2834.24,12,100.63,0,0,1,0,0,0,0,0,0,0,0,1
108.66,2762.07,27,100.96,0,0,1,0,0,0,0,0,0,0,0,1
105.72,2817.27,32,98.6,0,0,1,0,0,0,0,0,0,0,0,1
103.6,2973.68,38,97.27,0,0,1,0,0,0,0,0,0,0,0,1
106.04,3021.05,39,100.05,0,0,1,0,0,0,0,0,0,0,0,1
107.5,2773.68,40,100.72,0,0,1,0,0,0,0,0,0,0,0,1
105.46,2951.38,43,96.01,0,0,1,0,0,0,0,0,0,0,0,1
106.04,2874.89,45,98.97,0,0,1,0,0,0,0,0,0,0,0,1
105.02,3074.48,49,95.52,0,0,1,0,0,0,0,0,0,0,0,1
69.62,2940,50,87.45,0,0,1,0,0,0,0,0,0,0,0,1
109.02,2433.96,2,99.58,0,0,0,1,0,0,0,0,0,0,0,1
104.78,2800,3,98.49,0,0,0,1,0,0,0,0,0,0,0,1
109.9,2632.22,6,101.94,0,0,0,1,0,0,0,0,0,0,0,1
108.63,2728.42,12,100.93,0,0,0,1,0,0,0,0,0,0,0,1
102.62,3043.45,13,98.37,0,0,0,1,0,0,0,0,0,0,0,1
108.15,2915.59,14,100.35,0,0,0,1,0,0,0,0,0,0,0,1
105.84,2550,18,100.54,0,0,0,1,0,0,0,0,0,0,0,1
104.89,3088.97,38,99.5,0,0,0,1,0,0,0,0,0,0,0,1
105.29,3206,39,99.25,0,0,0,1,0,0,0,0,0,0,0,1
111.24,2433,52,102.78,0,0,0,1,0,0,0,0,0,0,0,1
111.03,2270,1,103.26,0,0,0,1,0,0,0,0,0,0,0,1
109.83,2420,2,102.48,0,0,0,0,1,0,0,0,0,0,0,1
97.5,2876,20,82.69,0,0,0,0,1,0,0,0,0,0,0,1
117.89,1602,23,74.07,0,0,0,0,1,0,0,0,0,0,0,1
109.27,3041.69,26,81.21,0,0,0,0,1,0,0,0,0,0,0,1
109.34,3137.29,28,83.56,0,0,0,0,1,0,0,0,0,0,0,1
111.15,2731,30,69.54,0,0,0,0,1,0,0,0,0,0,0,1
108.59,2754,32,80.1,0,0,0,0,1,0,0,0,0,0,0,1
20.85,1376.95,35,67.43,0,0,0,0,1,0,0,0,0,0,0,1
110.88,3313.45,44,104.38,0,0,0,0,1,0,0,0,0,0,0,1
112.06,3285,47,106.16,0,0,0,0,1,0,0,0,0,0,0,1
109.96,3098,48,104.07,0,0,0,0,1,0,0,0,0,0,0,1
111.41,3434,50,104.1,0,0,0,0,1,0,0,0,0,0,0,1
112.04,2972,52,105.84,0,0,0,0,1,0,0,0,0,0,0,1
113.79,2819,53,107.83,0,0,0,0,1,0,0,0,0,0,0,1
113.26,3200,5,106.48,0,0,0,0,0,1,0,0,0,0,0,1
111.58,2858,9,106.03,0,0,0,0,0,1,0,0,0,0,0,1
112.94,2906,17,106.59,0,0,0,0,0,1,0,0,0,0,0,1
112.59,3460,20,106.36,0,0,0,0,0,1,0,0,0,0,0,1
113.82,3034,21,109.62,0,0,0,0,0,1,0,0,0,0,0,1
113.1,3434,22,108.03,0,0,0,0,0,1,0,0,0,0,0,1
